 public | ossys_user                     | foreign table | postgres
 public | ossys_user_developer           | foreign table | postgres
 public | ossys_user_effective_role      | foreign table | postgres
 public | ossys_user_option              | foreign table | postgres
 public | ossys_user_permission          | foreign table | postgres
 public | ossys_user_role                | foreign table | postgres
 public | ossys_usereffrole_t1           | foreign table | postgres
 public | ossys_virtual_number           | foreign table | postgres
 public | ossys_visit                    | foreign table | postgres
 public | ossys_web_reference            | foreign table | postgres
 public | ossys_web_service              | foreign table | postgres
 public | ossys_web_services_errorcode   | foreign table | postgres
 public | ossys_zone                     | foreign table | postgres
 public | ossys_zone_server              | foreign table | postgres
 public | osusr_0w2__mlmenuitem          | foreign table | postgres
 public | osusr_0w2__mlmenusubit         | foreign table | postgres
 public | osusr_0w2_menuitem             | foreign table | postgres
 public | osusr_0w2_menusubi             | foreign table | postgres
 public | osusr_1bw__mlbaseappli         | foreign table | postgres
 public | osusr_1bw__mlbaseappli_lda_dk  | foreign table | postgres
 public | osusr_1bw__mlbaseappli_lde_de  | foreign table | postgres
 public | osusr_1bw__mlbaseappli_len_gb  | foreign table | postgres
 public | osusr_1bw__mlbaseappli_les     | foreign table | postgres
 public | osusr_1bw__mlbaseappli_lfi_fi  | foreign table | postgres
 public | osusr_1bw__mlbaseappli_lfr     | foreign table | postgres
 public | osusr_1bw__mlbaseappli_lka_ge  | foreign table | postgres
 public | osusr_1bw__mlbaseappli_lnb_no  | foreign table | postgres
 public | osusr_1bw__mlbaseappli_lpl_pl  | foreign table | postgres
 public | osusr_1bw__mlbaseappli_lro_ro  | foreign table | postgres
 public | osusr_1bw__mlbaseappli_lru_ru  | foreign table | postgres
 public | osusr_1bw__mlbaseappli_lsv_fi  | foreign table | postgres
 public | osusr_1bw__mlbaseappli_lsv_se  | foreign table | postgres
 public | osusr_1bw__mlbaseappli_lzh_cn  | foreign table | postgres
 public | osusr_1bw__mlbaseident         | foreign table | postgres
 public | osusr_1bw__mlbaseident_lda_dk  | foreign table | postgres
 public | osusr_1bw__mlbaseident_lde_de  | foreign table | postgres
 public | osusr_1bw__mlbaseident_len_gb  | foreign table | postgres
 public | osusr_1bw__mlbaseident_les     | foreign table | postgres
 public | osusr_1bw__mlbaseident_lfi_fi  | foreign table | postgres
 public | osusr_1bw__mlbaseident_lfr     | foreign table | postgres
 public | osusr_1bw__mlbaseident_lka_ge  | foreign table | postgres
 public | osusr_1bw__mlbaseident_lnb_no  | foreign table | postgres
 public | osusr_1bw__mlbaseident_lpl_pl  | foreign table | postgres
 public | osusr_1bw__mlbaseident_lro_ro  | foreign table | postgres
 public | osusr_1bw__mlbaseident_lru_ru  | foreign table | postgres
 public | osusr_1bw__mlbaseident_lsv_fi  | foreign table | postgres
 public | osusr_1bw__mlbaseident_lsv_se  | foreign table | postgres
 public | osusr_1bw__mlbaseident_lzh_cn  | foreign table | postgres
 public | osusr_1bw__mlbaseresid         | foreign table | postgres
 public | osusr_1bw__mlbaseresid_lda_dk  | foreign table | postgres
 public | osusr_1bw__mlbaseresid_lde_de  | foreign table | postgres
 public | osusr_1bw__mlbaseresid_len_gb  | foreign table | postgres
 public | osusr_1bw__mlbaseresid_les     | foreign table | postgres
 public | osusr_1bw__mlbaseresid_lfi_fi  | foreign table | postgres
 public | osusr_1bw__mlbaseresid_lfr     | foreign table | postgres
 public | osusr_1bw__mlbaseresid_lka_ge  | foreign table | postgres
 public | osusr_1bw__mlbaseresid_lnb_no  | foreign table | postgres
 public | osusr_1bw__mlbaseresid_lpl_pl  | foreign table | postgres
 public | osusr_1bw__mlbaseresid_lro_ro  | foreign table | postgres
 public | osusr_1bw__mlbaseresid_lru_ru  | foreign table | postgres
 public | osusr_1bw__mlbaseresid_lsv_fi  | foreign table | postgres
 public | osusr_1bw__mlbaseresid_lsv_se  | foreign table | postgres
 public | osusr_1bw__mlbaseresid_lzh_cn  | foreign table | postgres
 public | osusr_1bw_baseapp1             | foreign table | postgres
 public | osusr_1bw_baseapp2             | foreign table | postgres
 public | osusr_1bw_baseapp3             | foreign table | postgres
 public | osusr_1bw_baseapp4             | foreign table | postgres
 public | osusr_1bw_baseapp5             | foreign table | postgres
 public | osusr_1bw_baseapp6             | foreign table | postgres
 public | osusr_1bw_baseappl             | foreign table | postgres
 public | osusr_1bw_basebusi             | foreign table | postgres
 public | osusr_1bw_basecoap             | foreign table | postgres
 public | osusr_1bw_basecon1             | foreign table | postgres
 public | osusr_1bw_basecon2             | foreign table | postgres
 public | osusr_1bw_basecont             | foreign table | postgres
 public | osusr_1bw_baseide1             | foreign table | postgres
 public | osusr_1bw_baseiden             | foreign table | postgres
 public | osusr_1bw_baseoffe             | foreign table | postgres
 public | osusr_1bw_basepers             | foreign table | postgres
 public | osusr_1bw_baseresi             | foreign table | postgres
 public | osusr_1bw_installe             | foreign table | postgres
 public | osusr_1bw_postalco             | foreign table | postgres
 public | osusr_1bw_userperf             | foreign table | postgres
 public | osusr_3jl_reportgr             | foreign table | postgres
 public | osusr_3jl_scoreran             | foreign table | postgres
 public | osusr_524__mlapplicat1         | foreign table | postgres
 public | osusr_524__mlapplicat1_lda_dk  | foreign table | postgres
 public | osusr_524__mlapplicat1_lde_de  | foreign table | postgres
 public | osusr_524__mlapplicat1_len_gb  | foreign table | postgres
 public | osusr_524__mlapplicat1_les     | foreign table | postgres
 public | osusr_524__mlapplicat1_lfi_fi  | foreign table | postgres
 public | osusr_524__mlapplicat1_lfr     | foreign table | postgres
 public | osusr_524__mlapplicat1_lka_ge  | foreign table | postgres
 public | osusr_524__mlapplicat1_lnb_no  | foreign table | postgres
 public | osusr_524__mlapplicat1_lpl_pl  | foreign table | postgres
 public | osusr_524__mlapplicat1_lro_ro  | foreign table | postgres
 public | osusr_524__mlapplicat1_lru_ru  | foreign table | postgres
 public | osusr_524__mlapplicat1_lsv_fi  | foreign table | postgres
 public | osusr_524__mlapplicat1_lsv_se  | foreign table | postgres
 public | osusr_524__mlapplicat1_lzh_cn  | foreign table | postgres
 public | osusr_524__mlapplicati         | foreign table | postgres
 public | osusr_524__mlapplicati_lda_dk  | foreign table | postgres
 public | osusr_524__mlapplicati_lde_de  | foreign table | postgres
 public | osusr_524__mlapplicati_len_gb  | foreign table | postgres
 public | osusr_524__mlapplicati_les     | foreign table | postgres
 public | osusr_524__mlapplicati_lfi_fi  | foreign table | postgres
 public | osusr_524__mlapplicati_lfr     | foreign table | postgres
 public | osusr_524__mlapplicati_lka_ge  | foreign table | postgres
 public | osusr_524__mlapplicati_lnb_no  | foreign table | postgres
 public | osusr_524__mlapplicati_lpl_pl  | foreign table | postgres
 public | osusr_524__mlapplicati_lro_ro  | foreign table | postgres
 public | osusr_524__mlapplicati_lru_ru  | foreign table | postgres
 public | osusr_524__mlapplicati_lsv_fi  | foreign table | postgres
 public | osusr_524__mlapplicati_lsv_se  | foreign table | postgres
 public | osusr_524__mlapplicati_lzh_cn  | foreign table | postgres
 public | osusr_524__mlbusinessl         | foreign table | postgres
 public | osusr_524__mlbusinessl_lda_dk  | foreign table | postgres
 public | osusr_524__mlbusinessl_lde_de  | foreign table | postgres
 public | osusr_524__mlbusinessl_len_gb  | foreign table | postgres
 public | osusr_524__mlbusinessl_les     | foreign table | postgres
 public | osusr_524__mlbusinessl_lfi_fi  | foreign table | postgres
 public | osusr_524__mlbusinessl_lfr     | foreign table | postgres
 public | osusr_524__mlbusinessl_lka_ge  | foreign table | postgres
 public | osusr_524__mlbusinessl_lnb_no  | foreign table | postgres
 public | osusr_524__mlbusinessl_lpl_pl  | foreign table | postgres
 public | osusr_524__mlbusinessl_lro_ro  | foreign table | postgres
 public | osusr_524__mlbusinessl_lru_ru  | foreign table | postgres
 public | osusr_524__mlbusinessl_lsv_fi  | foreign table | postgres
 public | osusr_524__mlbusinessl_lsv_se  | foreign table | postgres
 public | osusr_524__mlbusinessl_lzh_cn  | foreign table | postgres
 public | osusr_524__mlbusinessr         | foreign table | postgres
 public | osusr_524__mlbusinessr_lda_dk  | foreign table | postgres
 public | osusr_524__mlbusinessr_lde_de  | foreign table | postgres
 public | osusr_524__mlbusinessr_len_gb  | foreign table | postgres
 public | osusr_524__mlbusinessr_les     | foreign table | postgres
 public | osusr_524__mlbusinessr_lfi_fi  | foreign table | postgres
 public | osusr_524__mlbusinessr_lfr     | foreign table | postgres
 public | osusr_524__mlbusinessr_lka_ge  | foreign table | postgres
 public | osusr_524__mlbusinessr_lnb_no  | foreign table | postgres
 public | osusr_524__mlbusinessr_lpl_pl  | foreign table | postgres
 public | osusr_524__mlbusinessr_lro_ro  | foreign table | postgres
 public | osusr_524__mlbusinessr_lru_ru  | foreign table | postgres
 public | osusr_524__mlbusinessr_lsv_fi  | foreign table | postgres
 public | osusr_524__mlbusinessr_lsv_se  | foreign table | postgres
 public | osusr_524__mlbusinessr_lzh_cn  | foreign table | postgres
 public | osusr_524__mlbusinesss         | foreign table | postgres
 public | osusr_524__mlbusinesss_lda_dk  | foreign table | postgres
 public | osusr_524__mlbusinesss_lde_de  | foreign table | postgres
 public | osusr_524__mlbusinesss_len_gb  | foreign table | postgres
 public | osusr_524__mlbusinesss_les     | foreign table | postgres
 public | osusr_524__mlbusinesss_lfi_fi  | foreign table | postgres
 public | osusr_524__mlbusinesss_lfr     | foreign table | postgres
 public | osusr_524__mlbusinesss_lka_ge  | foreign table | postgres
 public | osusr_524__mlbusinesss_lnb_no  | foreign table | postgres
 public | osusr_524__mlbusinesss_lpl_pl  | foreign table | postgres
 public | osusr_524__mlbusinesss_lro_ro  | foreign table | postgres
 public | osusr_524__mlbusinesss_lru_ru  | foreign table | postgres
 public | osusr_524__mlbusinesss_lsv_fi  | foreign table | postgres
 public | osusr_524__mlbusinesss_lsv_se  | foreign table | postgres
 public | osusr_524__mlbusinesss_lzh_cn  | foreign table | postgres
 public | osusr_524__mlcalendar          | foreign table | postgres
 public | osusr_524__mlcalendar_lda_dk   | foreign table | postgres
 public | osusr_524__mlcalendar_lde_de   | foreign table | postgres
 public | osusr_524__mlcalendar_len_gb   | foreign table | postgres
 public | osusr_524__mlcalendar_les      | foreign table | postgres
 public | osusr_524__mlcalendar_lfi_fi   | foreign table | postgres
 public | osusr_524__mlcalendar_lfr      | foreign table | postgres
 public | osusr_524__mlcalendar_lka_ge   | foreign table | postgres
 public | osusr_524__mlcalendar_lnb_no   | foreign table | postgres
 public | osusr_524__mlcalendar_lpl_pl   | foreign table | postgres
 public | osusr_524__mlcalendar_lro_ro   | foreign table | postgres
 public | osusr_524__mlcalendar_lru_ru   | foreign table | postgres
 public | osusr_524__mlcalendar_lsv_fi   | foreign table | postgres
 public | osusr_524__mlcalendar_lsv_se   | foreign table | postgres
 public | osusr_524__mlcalendar_lzh_cn   | foreign table | postgres
 public | osusr_524__mlcollatera         | foreign table | postgres
 public | osusr_524__mlcollatera_lda_dk  | foreign table | postgres
 public | osusr_524__mlcollatera_lde_de  | foreign table | postgres
 public | osusr_524__mlcollatera_len_gb  | foreign table | postgres
 public | osusr_524__mlcollatera_les     | foreign table | postgres
 public | osusr_524__mlcollatera_lfi_fi  | foreign table | postgres
 public | osusr_524__mlcollatera_lfr     | foreign table | postgres
 public | osusr_524__mlcollatera_lka_ge  | foreign table | postgres
 public | osusr_524__mlcollatera_lnb_no  | foreign table | postgres
 public | osusr_524__mlcollatera_lpl_pl  | foreign table | postgres
 public | osusr_524__mlcollatera_lro_ro  | foreign table | postgres
 public | osusr_524__mlcollatera_lru_ru  | foreign table | postgres
 public | osusr_524__mlcollatera_lsv_fi  | foreign table | postgres
 public | osusr_524__mlcollatera_lsv_se  | foreign table | postgres
 public | osusr_524__mlcollatera_lzh_cn  | foreign table | postgres
 public | osusr_524__mlcustomerd         | foreign table | postgres
 public | osusr_524__mldelinquen         | foreign table | postgres
 public | osusr_524__mldelinquen_lda_dk  | foreign table | postgres
 public | osusr_524__mldelinquen_lde_de  | foreign table | postgres
 public | osusr_524__mldelinquen_len_gb  | foreign table | postgres
 public | osusr_524__mldelinquen_les     | foreign table | postgres
 public | osusr_524__mldelinquen_lfi_fi  | foreign table | postgres
 public | osusr_524__mldelinquen_lfr     | foreign table | postgres
 public | osusr_524__mldelinquen_lka_ge  | foreign table | postgres
 public | osusr_524__mldelinquen_lnb_no  | foreign table | postgres
 public | osusr_524__mldelinquen_lpl_pl  | foreign table | postgres
 public | osusr_524__mldelinquen_lro_ro  | foreign table | postgres
 public | osusr_524__mldelinquen_lru_ru  | foreign table | postgres
 public | osusr_524__mldelinquen_lsv_fi  | foreign table | postgres
 public | osusr_524__mldelinquen_lsv_se  | foreign table | postgres
